Country;Category;DateTime;Value;Frequency;HistoricalDataSymbol;LastUpdate
United States;Tourism Revenues;2011-06-30T00:00:00;15979;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-07-31T00:00:00;16066;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-08-31T00:00:00;15976;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-09-30T00:00:00;15786;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-10-31T00:00:00;15960;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-11-30T00:00:00;15964;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2011-12-31T00:00:00;15885;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-01-31T00:00:00;15688;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-02-29T00:00:00;16310;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-03-31T00:00:00;16628;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-04-30T00:00:00;16799;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-05-31T00:00:00;16808;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-06-30T00:00:00;16952;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-07-31T00:00:00;16636;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-08-31T00:00:00;17170;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-09-30T00:00:00;17080;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-10-31T00:00:00;16606;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-11-30T00:00:00;17141;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2012-12-31T00:00:00;17177;Monthly;UNITEDSTATOUREV;2017-03-31T11:24:00
United States;Tourism Revenues;2013-01-31T00:00:00;17701;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-02-28T00:00:00;17769;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
United States;Tourism Revenues;2013-03-31T00:00:00;17959;Monthly;UNITEDSTATOUREV;2018-06-26T12:11:00
